#,Название,Автор,Цена,Ссылка,Рекомендую
2,Börsenerfolg mit Elliott Wellen,Phantom,€24.06,https://www.amazon.de/dp/3690662656/,
5,Das ist alles Manifestieren,Laura Malina Seiler,€22.04,https://www.amazon.de/dp/3949822739/,✅
6,Bürgerliches Gesetzbuch,Prof. Dr. Helmut Köhler,€8.57,https://www.amazon.de/dp/3423533331/,
13,Kreuzworträtsel Rätselbuch,Naumann & Göbel,€3.99,https://www.amazon.de/dp/3625195313/,
19,Handelsgesetzbuch,Prof. Dr. Holger Fleischer,€11.45,https://www.amazon.de/dp/3423533153/,
21,Die Krankheitslügen,Fabian Kowallik,€25.89,https://www.amazon.de/dp/3982758416/,
52,werd wohl noch fühlen dürfen,Katharina Pommer,€21.18,https://www.amazon.de/dp/3903597120/,✅
54,Aushangpflichtige Gesetze,Walhalla Fachredaktion,€11.95,https://www.amazon.de/dp/3802914260/,
57,Kassenbuch für Selbstständige,Gockler®,€11.95,https://www.amazon.de/dp/3964662038/,
59,Industriemeister Gesetzessammlung,Jana Michel,€26.96,https://www.amazon.de/dp/3691396011/,
62,Tabellenbuch Metall,Peter Schierbock,€19.20,https://www.amazon.de/dp/3427550729/,
63,Reich in 60 Minuten,Mario Lüddemann,€15.40,https://www.amazon.de/dp/3690661846/,✅
66,Tut das weh?,Florian Babor,€15.31,https://www.amazon.de/dp/3737376360/,✅
70,Das unsichtbare Band,Patrice Karst,€14.39,https://www.amazon.de/dp/3985851956/,✅
